date,home_team,away_team,p,y,home_score,away_score
2023-09-10,CLEVELAND BROWNS,CINCINNATI BENGALS,0.5,1.0,,
2023-09-10,INDIANAPOLIS COLTS,JACKSONVILLE JAGUARS,0.5,0.0,,
2023-09-10,MINNESOTA VIKINGS,TAMPA BAY BUCCANEERS,0.5,0.0,,
2023-09-10,NEW ORLEANS SAINTS,TENNESSEE TITANS,0.5,1.0,,
2023-09-10,PITTSBURGH STEELERS,SAN FRANCISCO 49ERS,0.5,0.0,,
2023-09-10,WASHINGTON COMMANDERS,ARIZONA CARDINALS,0.5,1.0,,
2023-09-10,DENVER BRONCOS,LAS VEGAS RAIDERS,0.5,0.0,,
2023-09-10,LOS ANGELES CHARGERS,MIAMI DOLPHINS,0.5,0.0,,
2023-09-10,NEW ENGLAND PATRIOTS,PHILADELPHIA EAGLES,0.5,0.0,,
2023-09-10,SEATTLE SEAHAWKS,LOS ANGELES RAMS,0.5,0.0,,
2023-09-10,NEW YORK GIANTS,DALLAS COWBOYS,0.5,0.0,,
2023-09-11,NEW YORK JETS,BUFFALO BILLS,0.5,1.0,,
2023-09-14,PHILADELPHIA EAGLES,MINNESOTA VIKINGS,0.5,1.0,,
2023-09-17,ATLANTA FALCONS,GREEN BAY PACKERS,0.5,1.0,,
2023-09-17,BUFFALO BILLS,LAS VEGAS RAIDERS,0.5,1.0,,
2023-09-17,CINCINNATI BENGALS,BALTIMORE RAVENS,0.5,0.0,,
2023-09-17,DETROIT LIONS,SEATTLE SEAHAWKS,0.5,0.0,,
2023-09-17,HOUSTON TEXANS,INDIANAPOLIS COLTS,0.5,0.0,,
2023-09-17,JACKSONVILLE JAGUARS,KANSAS CITY CHIEFS,0.5,0.0,,
2023-09-17,TAMPA BAY BUCCANEERS,CHICAGO BEARS,0.5,1.0,,
2023-09-17,TENNESSEE TITANS,LOS ANGELES CHARGERS,0.5,1.0,,
2023-09-17,ARIZONA CARDINALS,NEW YORK GIANTS,0.5,0.0,,
2023-09-17,LOS ANGELES RAMS,SAN FRANCISCO 49ERS,0.5,0.0,,
2023-09-17,DALLAS COWBOYS,NEW YORK JETS,0.5,1.0,,
2023-09-17,DENVER BRONCOS,WASHINGTON COMMANDERS,0.5,0.0,,
2023-09-17,NEW ENGLAND PATRIOTS,MIAMI DOLPHINS,0.5,0.0,,
2023-09-18,CAROLINA PANTHERS,NEW ORLEANS SAINTS,0.5,0.0,,
2023-09-18,PITTSBURGH STEELERS,CLEVELAND BROWNS,0.5,1.0,,
2023-09-21,SAN FRANCISCO 49ERS,NEW YORK GIANTS,0.5,1.0,,
2023-09-24,BALTIMORE RAVENS,INDIANAPOLIS COLTS,0.5,0.0,,
2023-09-24,CLEVELAND BROWNS,TENNESSEE TITANS,0.5,1.0,,
2023-09-24,DETROIT LIONS,ATLANTA FALCONS,0.5,1.0,,
2023-09-24,GREEN BAY PACKERS,NEW ORLEANS SAINTS,0.5,1.0,,
2023-09-24,JACKSONVILLE JAGUARS,HOUSTON TEXANS,0.5,0.0,,
2023-09-24,MIAMI DOLPHINS,DENVER BRONCOS,0.5,1.0,,
2023-09-24,MINNESOTA VIKINGS,LOS ANGELES CHARGERS,0.5,0.0,,
2023-09-24,NEW YORK JETS,NEW ENGLAND PATRIOTS,0.5,0.0,,
2023-09-24,WASHINGTON COMMANDERS,BUFFALO BILLS,0.5,0.0,,
2023-09-24,SEATTLE SEAHAWKS,CAROLINA PANTHERS,0.5,1.0,,
2023-09-24,ARIZONA CARDINALS,DALLAS COWBOYS,0.5,1.0,,
2023-09-24,KANSAS CITY CHIEFS,CHICAGO BEARS,0.5,1.0,,
2023-09-24,LAS VEGAS RAIDERS,PITTSBURGH STEELERS,0.5,0.0,,
2023-09-25,TAMPA BAY BUCCANEERS,PHILADELPHIA EAGLES,0.5,0.0,,
2023-09-25,CINCINNATI BENGALS,LOS ANGELES RAMS,0.5,1.0,,
2023-09-28,GREEN BAY PACKERS,DETROIT LIONS,0.5,0.0,,
2023-10-01,JACKSONVILLE JAGUARS,ATLANTA FALCONS,0.5,1.0,,
2023-10-01,BUFFALO BILLS,MIAMI DOLPHINS,0.5,1.0,,
2023-10-01,CAROLINA PANTHERS,MINNESOTA VIKINGS,0.5,0.0,,
2023-10-01,CHICAGO BEARS,DENVER BRONCOS,0.5,0.0,,
2023-10-01,CLEVELAND BROWNS,BALTIMORE RAVENS,0.5,0.0,,
2023-10-01,HOUSTON TEXANS,PITTSBURGH STEELERS,0.5,1.0,,
2023-10-01,INDIANAPOLIS COLTS,LOS ANGELES RAMS,0.5,0.0,,
2023-10-01,NEW ORLEANS SAINTS,TAMPA BAY BUCCANEERS,0.5,0.0,,
2023-10-01,PHILADELPHIA EAGLES,WASHINGTON COMMANDERS,0.5,1.0,,
2023-10-01,TENNESSEE TITANS,CINCINNATI BENGALS,0.5,1.0,,
2023-10-01,LOS ANGELES CHARGERS,LAS VEGAS RAIDERS,0.5,1.0,,
2023-10-01,DALLAS COWBOYS,NEW ENGLAND PATRIOTS,0.5,1.0,,
2023-10-01,SAN FRANCISCO 49ERS,ARIZONA CARDINALS,0.5,1.0,,
2023-10-01,NEW YORK JETS,KANSAS CITY CHIEFS,0.5,0.0,,
2023-10-02,NEW YORK GIANTS,SEATTLE SEAHAWKS,0.5,0.0,,
2023-10-05,WASHINGTON COMMANDERS,CHICAGO BEARS,0.5,0.0,,
2023-10-08,BUFFALO BILLS,JACKSONVILLE JAGUARS,0.5,0.0,,
2023-10-08,ATLANTA FALCONS,HOUSTON TEXANS,0.5,1.0,,
2023-10-08,DETROIT LIONS,CAROLINA PANTHERS,0.5,1.0,,
2023-10-08,INDIANAPOLIS COLTS,TENNESSEE TITANS,0.5,1.0,,
2023-10-08,MIAMI DOLPHINS,NEW YORK GIANTS,0.5,1.0,,
2023-10-08,NEW ENGLAND PATRIOTS,NEW ORLEANS SAINTS,0.5,0.0,,
2023-10-08,PITTSBURGH STEELERS,BALTIMORE RAVENS,0.5,1.0,,
2023-10-08,ARIZONA CARDINALS,CINCINNATI BENGALS,0.5,0.0,,
2023-10-08,LOS ANGELES RAMS,PHILADELPHIA EAGLES,0.5,0.0,,
2023-10-08,DENVER BRONCOS,NEW YORK JETS,0.5,0.0,,
2023-10-08,MINNESOTA VIKINGS,KANSAS CITY CHIEFS,0.5,0.0,,
2023-10-08,SAN FRANCISCO 49ERS,DALLAS COWBOYS,0.5,1.0,,
2023-10-09,LAS VEGAS RAIDERS,GREEN BAY PACKERS,0.5,1.0,,
2023-10-12,KANSAS CITY CHIEFS,DENVER BRONCOS,0.5,1.0,,
2023-10-15,BALTIMORE RAVENS,TENNESSEE TITANS,0.5,1.0,,
2023-10-15,ATLANTA FALCONS,WASHINGTON COMMANDERS,0.5,0.0,,
2023-10-15,CHICAGO BEARS,MINNESOTA VIKINGS,0.5,0.0,,
2023-10-15,CINCINNATI BENGALS,SEATTLE SEAHAWKS,0.5,1.0,,
2023-10-15,CLEVELAND BROWNS,SAN FRANCISCO 49ERS,0.5,1.0,,
2023-10-15,HOUSTON TEXANS,NEW ORLEANS SAINTS,0.5,1.0,,
2023-10-15,JACKSONVILLE JAGUARS,INDIANAPOLIS COLTS,0.5,1.0,,
2023-10-15,MIAMI DOLPHINS,CAROLINA PANTHERS,0.5,1.0,,
2023-10-15,LAS VEGAS RAIDERS,NEW ENGLAND PATRIOTS,0.5,1.0,,
2023-10-15,LOS ANGELES RAMS,ARIZONA CARDINALS,0.5,1.0,,
2023-10-15,NEW YORK JETS,PHILADELPHIA EAGLES,0.5,1.0,,
2023-10-15,TAMPA BAY BUCCANEERS,DETROIT LIONS,0.5,0.0,,
2023-10-15,BUFFALO BILLS,NEW YORK GIANTS,0.5,1.0,,
2023-10-16,LOS ANGELES CHARGERS,DALLAS COWBOYS,0.5,0.0,,
2023-10-19,NEW ORLEANS SAINTS,JACKSONVILLE JAGUARS,0.5,0.0,,
2023-10-22,BALTIMORE RAVENS,DETROIT LIONS,0.5,1.0,,
2023-10-22,CHICAGO BEARS,LAS VEGAS RAIDERS,0.5,1.0,,
2023-10-22,INDIANAPOLIS COLTS,CLEVELAND BROWNS,0.5,0.0,,
2023-10-22,NEW ENGLAND PATRIOTS,BUFFALO BILLS,0.5,1.0,,
2023-10-22,NEW YORK GIANTS,WASHINGTON COMMANDERS,0.5,1.0,,
2023-10-22,TAMPA BAY BUCCANEERS,ATLANTA FALCONS,0.5,0.0,,
2023-10-22,LOS ANGELES RAMS,PITTSBURGH STEELERS,0.5,0.0,,
2023-10-22,SEATTLE SEAHAWKS,ARIZONA CARDINALS,0.5,1.0,,
2023-10-22,DENVER BRONCOS,GREEN BAY PACKERS,0.5,1.0,,
2023-10-22,KANSAS CITY CHIEFS,LOS ANGELES CHARGERS,0.5,1.0,,
2023-10-22,PHILADELPHIA EAGLES,MIAMI DOLPHINS,0.5,1.0,,
2023-10-23,MINNESOTA VIKINGS,SAN FRANCISCO 49ERS,0.5,1.0,,
2023-10-26,BUFFALO BILLS,TAMPA BAY BUCCANEERS,0.5,1.0,,
2023-10-29,CAROLINA PANTHERS,HOUSTON TEXANS,0.5,1.0,,
2023-10-29,DALLAS COWBOYS,LOS ANGELES RAMS,0.5,1.0,,
2023-10-29,GREEN BAY PACKERS,MINNESOTA VIKINGS,0.5,0.0,,
2023-10-29,INDIANAPOLIS COLTS,NEW ORLEANS SAINTS,0.5,0.0,,
2023-10-29,MIAMI DOLPHINS,NEW ENGLAND PATRIOTS,0.5,1.0,,
2023-10-29,NEW YORK GIANTS,NEW YORK JETS,0.5,0.0,,
2023-10-29,PITTSBURGH STEELERS,JACKSONVILLE JAGUARS,0.5,0.0,,
2023-10-29,TENNESSEE TITANS,ATLANTA FALCONS,0.5,1.0,,
2023-10-29,WASHINGTON COMMANDERS,PHILADELPHIA EAGLES,0.5,0.0,,
2023-10-29,SEATTLE SEAHAWKS,CLEVELAND BROWNS,0.5,1.0,,
2023-10-29,ARIZONA CARDINALS,BALTIMORE RAVENS,0.5,0.0,,
2023-10-29,DENVER BRONCOS,KANSAS CITY CHIEFS,0.5,1.0,,
2023-10-29,SAN FRANCISCO 49ERS,CINCINNATI BENGALS,0.5,0.0,,
2023-10-29,LOS ANGELES CHARGERS,CHICAGO BEARS,0.5,1.0,,
2023-10-30,DETROIT LIONS,LAS VEGAS RAIDERS,0.5,1.0,,
2023-11-02,PITTSBURGH STEELERS,TENNESSEE TITANS,0.5,1.0,,
2023-11-05,KANSAS CITY CHIEFS,MIAMI DOLPHINS,0.5,1.0,,
2023-11-05,ATLANTA FALCONS,MINNESOTA VIKINGS,0.5,0.0,,
2023-11-05,BALTIMORE RAVENS,SEATTLE SEAHAWKS,0.5,1.0,,
2023-11-05,CLEVELAND BROWNS,ARIZONA CARDINALS,0.5,1.0,,
2023-11-05,GREEN BAY PACKERS,LOS ANGELES RAMS,0.5,1.0,,
2023-11-05,HOUSTON TEXANS,TAMPA BAY BUCCANEERS,0.5,1.0,,
