date,home_team,away_team,p,y
2022-10-02,MINNESOTA VIKINGS,NEW ORLEANS SAINTS,0.5,1
2022-10-02,CHICAGO BEARS,NEW YORK GIANTS,0.5,0
2022-10-02,JACKSONVILLE JAGUARS,PHILADELPHIA EAGLES,0.5,0
2022-10-02,NEW YORK JETS,PITTSBURGH STEELERS,0.5,1
2022-10-02,ARIZONA CARDINALS,CAROLINA PANTHERS,0.5,1
2022-10-02,NEW ENGLAND PATRIOTS,GREEN BAY PACKERS,0.5,0
2022-10-02,DENVER BRONCOS,LAS VEGAS RAIDERS,0.5,0
2022-10-02,KANSAS CITY CHIEFS,TAMPA BAY BUCCANEERS,0.5,1
2022-10-03,LOS ANGELES RAMS,SAN FRANCISCO 49ERS,0.5,0
2022-10-06,INDIANAPOLIS COLTS,DENVER BRONCOS,0.5,1
2022-10-09,GREEN BAY PACKERS,NEW YORK GIANTS,0.5,0
2022-10-09,PITTSBURGH STEELERS,BUFFALO BILLS,0.5,0
2022-10-09,HOUSTON TEXANS,JACKSONVILLE JAGUARS,0.5,1
2022-10-09,CHICAGO BEARS,MINNESOTA VIKINGS,0.5,0
2022-10-09,DETROIT LIONS,NEW ENGLAND PATRIOTS,0.5,0
2022-10-09,SEATTLE SEAHAWKS,NEW ORLEANS SAINTS,0.5,0
2022-10-09,ATLANTA FALCONS,TAMPA BAY BUCCANEERS,0.5,0
2022-10-09,DALLAS COWBOYS,LOS ANGELES RAMS,0.5,1
2022-10-09,CINCINNATI BENGALS,BALTIMORE RAVENS,0.5,0
2022-10-10,LAS VEGAS RAIDERS,KANSAS CITY CHIEFS,0.5,0
2022-10-16,NEW ENGLAND PATRIOTS,CLEVELAND BROWNS,0.5,1
2022-10-16,NEW YORK JETS,GREEN BAY PACKERS,0.5,1
2022-10-16,JACKSONVILLE JAGUARS,INDIANAPOLIS COLTS,0.5,0
2022-10-16,CAROLINA PANTHERS,LOS ANGELES RAMS,0.5,0
2022-10-16,DALLAS COWBOYS,PHILADELPHIA EAGLES,0.5,0
2022-10-17,DENVER BRONCOS,LOS ANGELES CHARGERS,0.5,0
2022-10-20,NEW ORLEANS SAINTS,ARIZONA CARDINALS,0.5,0
2022-10-23,CLEVELAND BROWNS,BALTIMORE RAVENS,0.5,0
2022-10-23,ATLANTA FALCONS,CINCINNATI BENGALS,0.5,0
2022-10-23,DETROIT LIONS,DALLAS COWBOYS,0.5,0
2022-10-23,NEW YORK GIANTS,JACKSONVILLE JAGUARS,0.5,1
2022-10-23,INDIANAPOLIS COLTS,TENNESSEE TITANS,0.5,0
2022-10-23,HOUSTON TEXANS,LAS VEGAS RAIDERS,0.5,0
2022-10-23,SEATTLE SEAHAWKS,LOS ANGELES CHARGERS,0.5,1
2022-10-23,KANSAS CITY CHIEFS,@,0.5,1
2022-10-23,PITTSBURGH STEELERS,MIAMI DOLPHINS,0.5,0
2022-10-24,CHICAGO BEARS,NEW ENGLAND PATRIOTS,0.5,1
2022-10-27,BALTIMORE RAVENS,TAMPA BAY BUCCANEERS,0.5,1
2022-10-30,JACKSONVILLE JAGUARS,DENVER BRONCOS,0.5,0
2022-10-30,CAROLINA PANTHERS,ATLANTA FALCONS,0.5,0
2022-10-30,CHICAGO BEARS,DALLAS COWBOYS,0.5,0
2022-10-30,ARIZONA CARDINALS,MINNESOTA VIKINGS,0.5,0
2022-10-30,PITTSBURGH STEELERS,PHILADELPHIA EAGLES,0.5,0
2022-10-30,NEW YORK GIANTS,SEATTLE SEAHAWKS,0.5,0
2022-10-30,WASHINGTON COMMANDERS,INDIANAPOLIS COLTS,0.5,1
2022-10-30,SAN FRANCISCO 49ERS,LOS ANGELES RAMS,0.5,1
2022-10-30,GREEN BAY PACKERS,BUFFALO BILLS,0.5,0
2022-11-06,CAROLINA PANTHERS,CINCINNATI BENGALS,0.5,0
2022-11-06,INDIANAPOLIS COLTS,NEW ENGLAND PATRIOTS,0.5,0
2022-11-06,SEATTLE SEAHAWKS,ARIZONA CARDINALS,0.5,1
2022-11-06,LOS ANGELES RAMS,TAMPA BAY BUCCANEERS,0.5,0
2022-11-06,TENNESSEE TITANS,KANSAS CITY CHIEFS,0.5,0
2022-11-13,TAMPA BAY BUCCANEERS,SEATTLE SEAHAWKS,0.5,1
2022-11-13,MINNESOTA VIKINGS,BUFFALO BILLS,0.5,1
2022-11-13,DETROIT LIONS,CHICAGO BEARS,0.5,1
2022-11-13,JACKSONVILLE JAGUARS,KANSAS CITY CHIEFS,0.5,0
2022-11-13,CLEVELAND BROWNS,MIAMI DOLPHINS,0.5,0
2022-11-13,HOUSTON TEXANS,NEW YORK GIANTS,0.5,0
2022-11-13,DENVER BRONCOS,TENNESSEE TITANS,0.5,0
2022-11-13,INDIANAPOLIS COLTS,LAS VEGAS RAIDERS,0.5,1
2022-11-13,ARIZONA CARDINALS,LOS ANGELES RAMS,0.5,1
2022-11-13,LOS ANGELES CHARGERS,SAN FRANCISCO 49ERS,0.5,0
2022-11-14,WASHINGTON COMMANDERS,PHILADELPHIA EAGLES,0.5,1
2022-11-17,TENNESSEE TITANS,GREEN BAY PACKERS,0.5,1
2022-11-20,CHICAGO BEARS,ATLANTA FALCONS,0.5,0
2022-11-20,CAROLINA PANTHERS,BALTIMORE RAVENS,0.5,0
2022-11-20,BUFFALO BILLS,CLEVELAND BROWNS,0.5,1
2022-11-20,NEW YORK JETS,NEW ENGLAND PATRIOTS,0.5,0
2022-11-20,LOS ANGELES RAMS,NEW ORLEANS SAINTS,0.5,0
2022-11-20,DETROIT LIONS,NEW YORK GIANTS,0.5,1
2022-11-20,LAS VEGAS RAIDERS,DENVER BRONCOS,0.5,1
2022-11-21,SAN FRANCISCO 49ERS,ARIZONA CARDINALS,0.5,1
2022-11-24,NEW YORK GIANTS,DALLAS COWBOYS,0.5,0
2022-11-24,NEW ENGLAND PATRIOTS,MINNESOTA VIKINGS,0.5,0
2022-11-27,HOUSTON TEXANS,MIAMI DOLPHINS,0.5,0
2022-11-27,CHICAGO BEARS,NEW YORK JETS,0.5,0
2022-11-27,ATLANTA FALCONS,WASHINGTON COMMANDERS,0.5,0
2022-11-27,LAS VEGAS RAIDERS,SEATTLE SEAHAWKS,0.5,1
2022-11-27,LOS ANGELES RAMS,KANSAS CITY CHIEFS,0.5,0
2022-11-27,NEW ORLEANS SAINTS,SAN FRANCISCO 49ERS,0.5,0
2022-11-27,GREEN BAY PACKERS,PHILADELPHIA EAGLES,0.5,0
2022-11-28,PITTSBURGH STEELERS,INDIANAPOLIS COLTS,0.5,1
2022-12-04,PITTSBURGH STEELERS,ATLANTA FALCONS,0.5,1
2022-12-04,DENVER BRONCOS,BALTIMORE RAVENS,0.5,0
2022-12-04,JACKSONVILLE JAGUARS,DETROIT LIONS,0.5,0
2022-12-04,NEW YORK JETS,MINNESOTA VIKINGS,0.5,0
2022-12-04,TENNESSEE TITANS,PHILADELPHIA EAGLES,0.5,0
2022-12-04,MIAMI DOLPHINS,SAN FRANCISCO 49ERS,0.5,0
2022-12-04,LOS ANGELES CHARGERS,LAS VEGAS RAIDERS,0.5,0
2022-12-04,INDIANAPOLIS COLTS,DALLAS COWBOYS,0.5,0
2022-12-05,NEW ORLEANS SAINTS,TAMPA BAY BUCCANEERS,0.5,0
2022-12-11,NEW YORK JETS,BUFFALO BILLS,0.5,0
2022-12-11,CLEVELAND BROWNS,CINCINNATI BENGALS,0.5,0
2022-12-11,HOUSTON TEXANS,DALLAS COWBOYS,0.5,0
2022-12-11,MINNESOTA VIKINGS,DETROIT LIONS,0.5,0
2022-12-11,BALTIMORE RAVENS,PITTSBURGH STEELERS,0.5,1
2022-12-11,JACKSONVILLE JAGUARS,TENNESSEE TITANS,0.5,1
2022-12-11,TAMPA BAY BUCCANEERS,SAN FRANCISCO 49ERS,0.5,0
2022-12-11,CAROLINA PANTHERS,SEATTLE SEAHAWKS,0.5,1
2022-12-17,INDIANAPOLIS COLTS,MINNESOTA VIKINGS,0.5,0
2022-12-17,BALTIMORE RAVENS,CLEVELAND BROWNS,0.5,0
2022-12-17,MIAMI DOLPHINS,BUFFALO BILLS,0.5,0
2022-12-18,PITTSBURGH STEELERS,CAROLINA PANTHERS,0.5,1
2022-12-18,ATLANTA FALCONS,NEW ORLEANS SAINTS,0.5,0
2022-12-18,DETROIT LIONS,NEW YORK JETS,0.5,1
2022-12-18,ARIZONA CARDINALS,DENVER BRONCOS,0.5,0
2022-12-18,NEW ENGLAND PATRIOTS,LAS VEGAS RAIDERS,0.5,0
2022-12-18,TENNESSEE TITANS,LOS ANGELES CHARGERS,0.5,0
2022-12-18,NEW YORK GIANTS,WASHINGTON COMMANDERS,0.5,1
2022-12-19,LOS ANGELES RAMS,GREEN BAY PACKERS,0.5,0
2022-12-22,JACKSONVILLE JAGUARS,NEW YORK JETS,0.5,1
2022-12-24,ATLANTA FALCONS,BALTIMORE RAVENS,0.5,0
2022-12-24,NEW ORLEANS SAINTS,CLEVELAND BROWNS,0.5,1
2022-12-24,SEATTLE SEAHAWKS,KANSAS CITY CHIEFS,0.5,0
2022-12-24,NEW YORK GIANTS,MINNESOTA VIKINGS,0.5,0
2022-12-24,LAS VEGAS RAIDERS,PITTSBURGH STEELERS,0.5,0
2022-12-24,HOUSTON TEXANS,TENNESSEE TITANS,0.5,1
2022-12-24,WASHINGTON COMMANDERS,SAN FRANCISCO 49ERS,0.5,0
2022-12-24,PHILADELPHIA EAGLES,DALLAS COWBOYS,0.5,0
2022-12-25,GREEN BAY PACKERS,MIAMI DOLPHINS,0.5,1
2023-01-01,ARIZONA CARDINALS,ATLANTA FALCONS,0.5,0
2023-01-01,CHICAGO BEARS,DETROIT LIONS,0.5,0
2023-01-01,DENVER BRONCOS,KANSAS CITY CHIEFS,0.5,0
2023-01-01,MIAMI DOLPHINS,NEW ENGLAND PATRIOTS,0.5,0
2023-01-01,INDIANAPOLIS COLTS,NEW YORK GIANTS,0.5,0
2023-01-01,NEW ORLEANS SAINTS,PHILADELPHIA EAGLES,0.5,1
2023-01-01,CAROLINA PANTHERS,TAMPA BAY BUCCANEERS,0.5,0
2023-01-01,CLEVELAND BROWNS,WASHINGTON COMMANDERS,0.5,1
2023-01-01,MINNESOTA VIKINGS,GREEN BAY PACKERS,0.5,0
2023-01-01,LOS ANGELES RAMS,LOS ANGELES CHARGERS,0.5,0
2023-01-01,PITTSBURGH STEELERS,BALTIMORE RAVENS,0.5,1
2023-01-07,TENNESSEE TITANS,JACKSONVILLE JAGUARS,0.5,0
2023-01-08,TAMPA BAY BUCCANEERS,ATLANTA FALCONS,0.5,0
2023-01-08,NEW ENGLAND PATRIOTS,BUFFALO BILLS,0.5,0
2023-01-08,BALTIMORE RAVENS,CINCINNATI BENGALS,0.5,0
2023-01-08,HOUSTON TEXANS,INDIANAPOLIS COLTS,0.5,1
2023-01-08,NEW YORK JETS,MIAMI DOLPHINS,0.5,0
2023-01-08,CAROLINA PANTHERS,NEW ORLEANS SAINTS,0.5,1
2023-01-08,CLEVELAND BROWNS,PITTSBURGH STEELERS,0.5,0
2023-01-08,LOS ANGELES CHARGERS,DENVER BRONCOS,0.5,0
2023-01-08,NEW YORK GIANTS,PHILADELPHIA EAGLES,0.5,0
2023-01-08,ARIZONA CARDINALS,SAN FRANCISCO 49ERS,0.5,0
2023-01-08,LOS ANGELES RAMS,SEATTLE SEAHAWKS,0.5,0
2023-01-08,DETROIT LIONS,GREEN BAY PACKERS,0.5,1
2023-01-14,SEATTLE SEAHAWKS (7),SAN FRANCISCO 49ERS (2),0.5,0
2023-01-14,LOS ANGELES CHARGERS (5),@,0.5,0
2023-01-15,MIAMI DOLPHINS (7),BUFFALO BILLS (2),0.5,0
2023-01-15,NEW YORK GIANTS (6),MINNESOTA VIKINGS (3),0.5,1
2023-01-15,BALTIMORE RAVENS (6),CINCINNATI BENGALS (3),0.5,0
2023-01-16,DALLAS COWBOYS (5),@,0.5,1
2023-01-21,JACKSONVILLE JAGUARS (4),KANSAS CITY CHIEFS (1),0.5,0
2023-01-21,NEW YORK GIANTS (6),PHILADELPHIA EAGLES (1),0.5,0
2023-01-22,CINCINNATI BENGALS (3),BUFFALO BILLS (2),0.5,1
2023-01-22,DALLAS COWBOYS (5),SAN FRANCISCO 49ERS (2),0.5,0
2023-01-29,SAN FRANCISCO 49ERS (2),PHILADELPHIA EAGLES (1),0.5,0
2023-01-29,CINCINNATI BENGALS (3),KANSAS CITY CHIEFS (1),0.5,0
2023-02-12,KANSAS CITY CHIEFS (1),PHILADELPHIA EAGLES (1),0.5,1
