home_team,away_team,date,home_score,away_score
LV,PIT,2024-10-13,13,32
CAR,ATL,2024-10-13,20,38
DAL,DET,2024-10-13,9,47
NYG,CIN,2024-10-13,7,17
NYJ,BUF,2024-10-14,20,23
NO,DEN,2024-10-17,10,33
JAX,NE,2024-10-20,32,16
ATL,SEA,2024-10-20,14,34
BUF,TEN,2024-10-20,34,10
CLE,CIN,2024-10-20,14,21
GB,HOU,2024-10-20,24,22
IND,MIA,2024-10-20,16,10
MIN,DET,2024-10-20,29,31
NYG,PHI,2024-10-20,3,28
LA,LV,2024-10-20,20,15
WAS,CAR,2024-10-20,40,7
PIT,NYJ,2024-10-20,37,15
TB,BAL,2024-10-21,31,41
ARI,LAC,2024-10-21,17,15
LA,MIN,2024-10-24,30,20
CIN,PHI,2024-10-27,17,37
CLE,BAL,2024-10-27,29,24
DET,TEN,2024-10-27,52,14
HOU,IND,2024-10-27,23,20
JAX,GB,2024-10-27,27,30
MIA,ARI,2024-10-27,27,28
NE,NYJ,2024-10-27,25,22
TB,ATL,2024-10-27,26,31
LAC,NO,2024-10-27,26,8
SEA,BUF,2024-10-27,10,31
DEN,CAR,2024-10-27,28,14
LV,KC,2024-10-27,20,27
WAS,CHI,2024-10-27,18,15
DAL,PIT,2024-10-27,47,5
NYJ,HOU,2024-10-31,21,13
ATL,DAL,2024-11-03,27,21
BAL,DEN,2024-11-03,41,10
BUF,MIA,2024-11-03,30,27
CAR,NO,2024-11-03,23,22
CIN,LV,2024-11-03,41,24
CLE,LAC,2024-11-03,10,27
NYG,WAS,2024-11-03,22,27
TEN,NE,2024-11-03,20,17
ARI,CHI,2024-11-03,29,9
PHI,JAX,2024-11-03,28,23
GB,DET,2024-11-03,14,24
SEA,LA,2024-11-03,20,26
MIN,IND,2024-11-03,21,13
KC,TB,2024-11-04,30,24
BAL,CIN,2024-11-07,35,34
NYG,CAR,2024-11-10,17,20
CHI,NE,2024-11-10,3,19
IND,BUF,2024-11-10,20,30
JAX,MIN,2024-11-10,7,12
KC,DEN,2024-11-10,16,14
NO,ATL,2024-11-10,20,17
WAS,TB,2024-11-10,5,50
LAC,TEN,2024-11-10,27,17
ARI,NYJ,2024-11-10,31,6
DAL,PHI,2024-11-10,6,34
HOU,DET,2024-11-10,23,26
LA,MIA,2024-11-11,15,23
PHI,WAS,2024-11-14,26,18
CHI,GB,2024-11-17,19,20
DET,JAX,2024-11-17,52,6
MIA,LV,2024-11-17,34,19
NE,LA,2024-11-17,22,28
NO,CLE,2024-11-17,35,14
NYJ,IND,2024-11-17,27,28
PIT,BAL,2024-11-17,18,16
TEN,MIN,2024-11-17,13,23
DEN,ATL,2024-11-17,38,6
SEA,BUF,2024-11-17,48,5
LAC,CIN,2024-11-17,34,27
DAL,HOU,2024-11-18,10,34
CLE,PIT,2024-11-21,24,19
CAR,KC,2024-11-24,27,30
CHI,MIN,2024-11-24,27,30
HOU,TEN,2024-11-24,27,32
IND,DET,2024-11-24,6,24
MIA,NE,2024-11-24,34,15
NYG,TB,2024-11-24,7,30
WAS,DAL,2024-11-24,26,34
LV,DEN,2024-11-24,19,29
GB,ARI,2024-11-24,38,10
LA,PHI,2024-11-24,20,37
LAC,BAL,2024-11-25,23,30
DET,CHI,2024-11-28,23,20
DAL,NYG,2024-11-28,27,20
GB,MIA,2024-11-28,30,17
KC,LV,2024-11-29,19,17
ATL,LAC,2024-12-01,13,17
CIN,PIT,2024-12-01,38,44
JAX,HOU,2024-12-01,20,23
MIN,ARI,2024-12-01,23,22
NE,IND,2024-12-01,24,25
NYJ,SEA,2024-12-01,21,26
WAS,TEN,2024-12-01,42,19
CAR,TB,2024-12-01,23,26
NO,LA,2024-12-01,14,21
BAL,PHI,2024-12-01,19,24
BUF,DEN,2024-12-01,35,10
DET,GB,2024-12-05,34,31
MIA,NYJ,2024-12-08,32,26
MIN,ATL,2024-12-08,42,21
NYG,NO,2024-12-08,11,14
PHI,CAR,2024-12-08,22,16
PIT,CLE,2024-12-08,27,14
TB,LV,2024-12-08,28,13
TEN,JAX,2024-12-08,6,10
ARI,SEA,2024-12-08,18,30
LA,BUF,2024-12-08,44,42
CHI,KC,2024-12-08,43,5
DAL,CIN,2024-12-09,20,27
LA,CAR,2024-12-12,48,5
CLE,KC,2024-12-15,7,21
HOU,MIA,2024-12-15,20,12
JAX,NYJ,2024-12-15,25,32
NO,WAS,2024-12-15,19,20
NYG,BAL,2024-12-15,14,35
TEN,CIN,2024-12-15,27,37
ARI,NE,2024-12-15,30,17
DEN,IND,2024-12-15,31,13
DET,BUF,2024-12-15,42,48
LAC,TB,2024-12-15,17,40
PHI,PIT,2024-12-15,27,13
SEA,GB,2024-12-15,13,30
MIN,CHI,2024-12-16,30,12
LV,ATL,2024-12-16,9,15
LAC,DEN,2024-12-19,34,27
KC,HOU,2024-12-21,27,19
BAL,PIT,2024-12-21,34,17
ATL,NYG,2024-12-22,34,7
BUF,NE,2024-12-22,24,21
CAR,ARI,2024-12-22,36,30
CHI,DET,2024-12-22,17,34
CIN,CLE,2024-12-22,24,6
IND,TEN,2024-12-22,38,30
NYJ,LA,2024-12-22,9,19
WAS,PHI,2024-12-22,36,33
SEA,MIN,2024-12-22,24,27
LV,JAX,2024-12-22,19,14
DAL,TB,2024-12-22,26,24
GB,NO,2024-12-23,34,0
PIT,KC,2024-12-25,10,29
HOU,BAL,2024-12-25,2,31
CHI,SEA,2024-12-26,3,6
NE,LAC,2024-12-28,7,40
CIN,DEN,2024-12-28,30,24
LA,ARI,2024-12-28,13,9
BUF,NYJ,2024-12-29,40,14
JAX,TEN,2024-12-29,20,13
NO,LV,2024-12-29,10,25
NYG,IND,2024-12-29,45,33
PHI,DAL,2024-12-29,41,7
TB,CAR,2024-12-29,48,14
CLE,MIA,2024-12-29,3,20
MIN,GB,2024-12-29,27,25
WAS,ATL,2024-12-29,30,24
